txn_id,store_code,product_sku,qty,unit_price,txn_date
TXN100000,ST01,SKU-1004,10,31.2,2024-03-12
TXN100001,ST01,SKU-1005,6,22.48,2024-01-10
TXN100002,ST04,SKU-1005,3,73.42,2024-02-02
TXN100003,ST02,SKU-1005,7,16.85,2024-02-14
TXN100004,ST03,SKU-1005,10,52.02,2024-03-13
TXN100005,ST01,SKU-1002,10,58.69,2024-01-27
TXN100006,ST04,SKU-1002,10,39.37,2024-01-12
TXN100007,ST02,SKU-1006,4,34.82,2024-03-08
TXN100008,ST02,SKU-1002,1,29.49,2024-01-13
TXN100009,ST04,SKU-1005,6,76.06,2024-03-15
TXN100010,ST02,SKU-1005,9,77.64,2024-01-07
TXN100011,ST04,SKU-1006,6,78.25,2024-03-03
TXN100012,ST03,SKU-1002,3,29.7,2024-02-28
TXN100013,ST01,SKU-1001,10,74.22,2024-03-02
TXN100014,ST01,SKU-1003,1,86.19,2024-02-23
TXN100015,ST02,SKU-1002,BADQTY,19.99,2024-02-10
TXN100015,ST04,SKU-1004,1,82.23,2024-01-06
TXN100016,ST04,SKU-1005,3,72.79,2024-02-16
TXN100017,ST04,SKU-1005,10,32.13,2024-03-16
TXN100018,ST02,SKU-1006,8,85.28,2024-01-19
TXN100019,ST01,SKU-1002,9,38.37,2024-03-07
TXN100020,ST01,SKU-1004,5,31.08,2024-01-11
TXN100021,ST04,SKU-1001,4,58.97,2024-01-02
TXN100022,ST03,SKU-1004,4,28.78,2024-02-25
TXN100023,ST01,SKU-1003,7,14.68,2024-02-24
TXN100024,ST02,SKU-1003,3,39.37,2024-02-18
TXN100025,ST04,SKU-1004,7,37.64,2024-03-01
TXN100026,ST04,SKU-1003,4,26.93,2024-03-01
TXN100027,ST04,SKU-1002,4,29.6,2024-02-08
TXN100028,ST03,SKU-1002,8,32.41,2024-01-06
TXN100029,ST04,SKU-1004,5,82.26,2024-01-26
TXN100030,ST03,SKU-1003,5,75.48,2024-01-21
TXN100031,ST01,SKU-1005,4,28.47,2024-02-19
TXN100032,ST02,SKU-1005,7,85.1,2024-03-06
TXN100033,ST04,SKU-1001,1,69.54,2024-02-17
TXN100034,ST02,SKU-1005,10,24.6,2024-01-05
TXN100035,ST02,SKU-1004,10,84.96,2024-03-09
TXN100036,ST01,SKU-1001,4,13.58,2024-03-19
TXN100037,ST03,SKU-1001,10,87.02,2024-01-26
TXN100038,ST04,SKU-1004,6,71.9,2024-03-11
TXN100040,ST99,SKU-9999,3,,2024-03-05
TXN100039,ST02,SKU-1006,9,64.82,2024-01-09
TXN100040,ST02,SKU-1003,10,51.53,2024-02-23
TXN100041,ST01,SKU-1001,7,76.97,2024-02-21
TXN100042,ST01,SKU-1001,8,34.19,2024-02-20
TXN100043,ST01,SKU-1003,3,56.49,2024-01-17
TXN100044,ST01,SKU-1004,1,10.18,2024-02-12
TXN100045,ST02,SKU-1005,7,11.9,2024-02-08
TXN100046,ST02,SKU-1004,2,84.89,2024-03-23
TXN100047,ST04,SKU-1005,9,88.34,2024-02-27
TXN100048,ST02,SKU-1001,5,70.86,2024-02-10
TXN100049,ST03,SKU-1001,2,45.07,2024-02-27
TXN100050,ST04,SKU-1005,1,58.07,2024-03-21
TXN100051,ST02,SKU-1001,8,89.61,2024-02-01
TXN100052,ST03,SKU-1005,6,79.85,2024-03-11
TXN100053,ST04,SKU-1003,3,78.83,2024-01-28
TXN100054,ST01,SKU-1006,3,52.24,2024-01-22
TXN100055,ST01,SKU-1002,4,62.74,2024-01-10
TXN100056,ST02,SKU-1005,1,17.99,2024-01-09
TXN100057,ST03,SKU-1002,10,48.93,2024-02-03
TXN100058,ST01,SKU-1006,6,41.11,2024-03-04
TXN100059,ST03,SKU-1005,7,30.82,2024-03-19
